Ward code,Ward name,Electors
E05000819,Altrincham,9219
E05000820,Ashton upon Mersey,7715
E05000821,Bowdon,7393
E05000822,Broadheath,10181
E05000823,Brooklands,7942
E05000824,Bucklow-St Martins,7187
E05000825,Clifford,8938
E05000826,Davyhulme East,7803
E05000827,Davyhulme West,7795
E05000828,Flixton,8427
E05000829,Gorse Hill,8602
E05000830,Hale Barns,7545
E05000831,Hale Central,7584
E05000832,Longford,9443
E05000833,Priory,8259
E05000835,Sale Moor,7654
E05000834,St Mary's,8777
E05000836,Stretford,8062
E05000837,Timperley,8510
E05000838,Urmston,8624
E05000839,Village,8010
