OrganisationLabel,OrganisationURI,EffectiveDate,TotalOccasionsFraudPowers,TotalFraudEmployeesCount,FTEFraudEmployeesCount,TotalFraudSpecialistsCount,FTEFraudSpecialistCount,FraudSpentAmount,TotalInvestigatedFraud,TotalIdentifiedFraud,ValueFraud,ValueFraudRecovered,TotalInvestigatedIrregularities,TotalIdentifiedIrregularities,ValueIrregularities,ValueIrregularitiesRecovered
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2015-03-31,710,11,7,8,8,327310,517,NA,NA,NA,NA,NA,NA,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2016-03-31,332,10,7.5,7,7,290962,648,NA,NA,NA,NA,NA,NA,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2017-03-31,13,6,4.5,3,3,168486,265,NA,NA,NA,NA,NA,NA,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2018-03-31,15,6,5.3,3,3,174997,284,NA,NA,NA,NA,NA,NA,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2019-03-31,7,4,3.8,4,3.8,148831,278,NA,NA,NA,NA,NA,NA,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2020-03-31,30,4,4,3,3,132499,185,NA,NA,NA,NA,NA,NA,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-03-31,13,4,3,3,2,110176,132,NA,NA,NA,NA,NA,NA,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-03-31,19,4,3,3,2,115864,163,NA,NA,NA,NA,NA,NA,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-03-31,14,3,2,2,1,113838,124,NA,NA,NA,NA,NA,NA,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2024-03-31,8,3,2.5,3,2.5,143600,165,NA,NA,NA,NA,NA,NA,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,26,3,3,3,3,165365,167,NA,NA,NA,NA,NA,NA,NA
