OrganisationLabel,OrganisationURI,EffectiveDate,OrganisationalUnit,BeneficiaryName,PaymentDate,Amount,IrrecoverableVATAmount,Purpose,CategoryInternalName,MerchantCategoryCode,CardTransaction
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,Bollin,Alliance Disposables Limi,2026-03-31,213.56,0,Purchase Alliance Disposables Limi for cleaning materials,"Specialty Cleaning, Polishing, and Sanitation",2842,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,Victoria Pk Inf,Alliance Disposables Limi,2026-03-31,154,0,Purchase Alliance Disposables Limi for cleaning materials,"Specialty Cleaning, Polishing, and Sanitation",2842,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,Sale Grammar,Alliance Disposables Limi,2026-03-31,269.84,0,Purchase Alliance Disposables Limi for cleaning materials,"Specialty Cleaning, Polishing, and Sanitation",2842,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,Charlestown Primary,Alliance Disposables Limi,2026-03-31,113.72,0,Purchase Alliance Disposables Limi for cleaning materials,"Specialty Cleaning, Polishing, and Sanitation",2842,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,Sale High School,Alliance Disposables Limi,2026-03-31,182.83,0,Purchase Alliance Disposables Limi for cleaning materials,"Specialty Cleaning, Polishing, and Sanitation",2842,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,Wellfield Jr,Alliance Disposables Limi,2026-03-31,45,0,Purchase Alliance Disposables Limi for cleaning materials,"Specialty Cleaning, Polishing, and Sanitation",2842,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,Education Services,Alliance Disposables Limi,2026-03-31,138.47,0,Purchase Alliance Disposables Limi for cleaning materials,"Specialty Cleaning, Polishing, and Sanitation",2842,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,St Hugh Lincoln,Alliance Disposables Limi,2026-03-31,74.71,0,Purchase Alliance Disposables Limi for cleaning materials,"Specialty Cleaning, Polishing, and Sanitation",2842,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,Sale Grammar,Smart Food,2026-03-30,301.7,0,Purchase Smart Food for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,Sale High School,Smart Food,2026-03-30,311.9,0,Purchase Smart Food for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,Willows,Ralph Livesey Limited,2026-03-27,256.71,0,Purchase Ralph Livesey Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,St Vincents Jnr,Dunsters Farm Limited,2026-03-27,487.23,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,Sale High School,Smart Food,2026-03-27,269.3,0,Purchase Smart Food for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,Sale Grammar,Dunsters Farm Limited,2026-03-27,1113.34,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,St Malachys Primary,Dunsters Farm Limited,2026-03-27,235.23,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,Sale Grammar,Dunsters Farm Limited,2026-03-27,72.93,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,Gorse Hill,Dunsters Farm Limited,2026-03-27,352.39,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,St Vincents Jnr,Morris Quality Bakers Lim,2026-03-27,30.8,0,Purchase Morris Quality Bakers Lim for catering provisions,Bakeries,5462,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,Sale Grammar,Dunsters Farm Limited,2026-03-27,313.8,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,Bollin,Dunsters Farm Limited,2026-03-27,353.16,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,St Clares Rc Primary,Dunsters Farm Limited,2026-03-27,64.46,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,Stretford Grammar School,Ralph Livesey Limited,2026-03-27,460.79,0,Purchase Ralph Livesey Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,Highfield,Morris Quality Bakers Lim,2026-03-27,37.78,0,Purchase Morris Quality Bakers Lim for catering provisions,Bakeries,5462,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,Flixton Infants,Dunsters Farm Limited,2026-03-27,207.6,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2026-03-31,St Hughs Rc,Dunsters Farm Limited,2026-03-27,319.86,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
