OrganisationLabel,OrganisationURI,EffectiveDate,UPRN,AssetCode,PropertyName,StreetNumber,StreetName,PostTown,PostCode,CoordinateReferenceSystem,GeoX,GeoY,TenureType,TenureDetail,OtherDetail,HoldingType,BuildingSize,LandArea,EnergyRating
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,100012797623,TMBC0001/T0000003,Altrincham Town Hall,,Market Street,Altrincham,WA14 1PF,WGS84,-2.3520922,53.3879587,Freehold,Owner Occupied,Town Hall,Buildings,415.05,,E
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,100012800714,TMBC0002/B0000066,Broomwood Centre,105,Mainwood Road,Altrincham,WA15 7JU,WGS84,-2.306004,53.3914925,Freehold,Leasehold Out,,Buildings,872.8,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,100012702108,TMBC0003,Claremont Centre,21,Claremont Road,Sale,M33 7DZ,WGS84,-2.3204334,53.426618,Freehold,Owner Occupied,,Buildings,1047,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-13,200000333839,TMBC0004,Moss View Centre,,,Partington,M31,,,,Freehold,Vacant,,Buildings,1299.3,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070461991,TMBC0005/TN000076,Partington Healthy Living Centre,91,Central Road,Partington,M31 4FL,WGS84,-2.425277,53.417552,Freehold,Owner Occupied,,Buildings,935,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10024817974,TMBC0006/TN000077,"Sale Waterside (Sale TH/Sale Civic Theatre/Sale TH Annexe), Waterside House",1,Waterside Plaza,Sale,M33 7ZF,WGS84,-2.3200009,53.4251271,Freehold,Owner Occupied,,Buildings,12298,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070406221,TMBC0007/B0000069,Sale West Development Centre (Integrated with Manor High School),120,Manor Avenue,Sale,M33 5JX,WGS84,-2.3551946,53.4245957,Freehold,Leasehold Out,,Buildings,742.5,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10091813602,TMBC0008/T0000001,Trafford Town Hall,,Talbot Road,Old Trafford,M32 0TH,WGS84,-2.2874833,53.4590163,Freehold,Owner Occupied,,Buildings,12426,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070408638,TMBC0009/K0000022,Ascot House,,Ascot Avenue,Sale,M33 4GT,WGS84,-2.3562174,53.4173298,Freehold,Owner Occupied,,Buildings,1741.4,,E
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,200000336363,TMBC0010/K0000041,Broome House,54-56,Seymour Grove,Old Trafford,M16 0LN,WGS84,-2.2763273,53.4596717,Freehold,Other,Commissioned service,Buildings,691,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,100012702090,TMBC0011/K0000036,Chapel Road,,,Sale,M33,,,,Freehold,Vacant,,Buildings,424,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,100012710290,TMBC0012/K0000018,Shawe View Residential Care Home,10 to 12,Shawe Road,Urmston,M41 5DL,WGS84,-2.3723068,53.4472936,Freehold,Other,Commissioned service,Buildings,1001.3,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0013,Balmoral Road Allotments (Metal Container),,Balmoral Road,Urmston,M41 6HN,WGS84,-2.371459,53.443235,Freehold,Owner Occupied,Managed allotments,Land/Buildings,13,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,100011649147,TMBC0014/J0000211,Brookfield Allotments,,Brook Road,Urmston,M41 5RQ,WGS84,-2.37556,53.44994,Freehold,Owner Occupied,Managed allotments,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,10070447621,TMBC0015,Chadwick Allotments (Communal Building/Toilets),,Bradfield Road,Urmston,M41 9ND,WGS84,-2.334937,53.447243,Freehold,Owner Occupied,Managed allotments,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,200002268135,TMBC0016/J0000190,Church Street Allotments (No Facilities),,Church Street,Stretford,M32 9AH,WGS84,-2.3311833,53.444107,Freehold,Owner Occupied,Managed allotments,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,10070446362,TMBC0017/J0000204,Dequincy Road Allotments (No Facilities),,De Quincey Road,Altrincham,WA14 5PH,WGS84,-2.347313,53.406617,Freehold,Owner Occupied,Managed allotments,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,10070446365,TMBC0018/JN0000006,Eaton Road Allotments (No Facilities),,Eaton Road,Bowdon,WA15 3EH,WGS84,-2.359989,53.372013,Freehold,Owner Occupied,Managed allotments,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0019/J0000188,Golf Road (Community Building and Shop),,Moss Lane,Hale,WA15 8AP,WGS84,-2.335214,53.382975,Freehold,Owner Occupied,Managed allotments,Land/Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,10070447620,TMBC0020/JN0000008,Gorse Hill Allotments (Shop/Toilet),,Burleigh Road,Stretford,M32 0GB,WGS84,-2.294909,53.459089,Freehold,Owner Occupied,Managed allotments,Land/Buildings,20,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0021/J0000205,Granville Allotments,,Granville Road,Urmston,M41 0UL,WGS84,-2.346767,53.452262,Freehold,Owner Occupied,Managed allotments,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0022/JN0000010,Grosvenor Road Allotments,,Grosvenor Road,Sale,M33 5QU,WGS84,-2.334064,53.43185,Freehold,Owner Occupied,Managed allotments,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,10070446362,TMBC0023,Grove Lane Allotments (Garage-Used as Store Room),,Grove Lane,Timperley,WA15 6PX,WGS84,-2.331796,53.39769,Freehold,Owner Occupied,Managed allotments,Land/Buildings,12,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,10070447625,TMBC0024/JN0000012,Humphrey Park Allotments (Communal Building/Toilets),,Humphrey Park Road,Urmston,M41 9NH,WGS84,-2.330855,53.446995,Freehold,Owner Occupied,Managed allotments,Land/Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0025/J0000132,Laneheads Allotments (Community Buildings),,Alderley Road,Flixton,M41 5DW,WGS84,-2.376317,53.449413,Freehold,Owner Occupied,Managed allotments,Land/Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0026/JN0000014,Lesley Road/Moss Park Allotments (Communal Building/Toilets),,Lesley Road,Stretford,M32 9EE,WGS84,-2.327003,53.445332,Freehold,Owner Occupied,Managed allotments,Land/Buildings,32,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0027/JN0000015,Lesley Road/Moss Park Allotments (Shop/Garage-Storage),,Lesley Road,Stretford,M32 9EE,WGS84,-2.327003,53.445332,Freehold,Owner Occupied,Managed allotments,Land/Buildings,32,,
