OrganisationLabel,OrganisationURI,EffectiveDate,Location,Postcode,ParkingSpaces,DisabledParkingSpaces,ParkingRestrictions,FreeParking,ChargeableParking,HeightRestriction,HeightRestrictionMetres,HeightRestrictionFeet,ElectricVehiclePoint,ParkMarkAward
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,"Oakfield Road, Altrincham",WA15 8EW,300,10,Pay & Display,FALSE,TRUE,TRUE,1.98,6.5,FALSE,FALSE
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,"Balmoral Road (No. 2), Altrincham",WA15 8HJ,25,1,2 hours free/£1 all day,TRUE,TRUE,FALSE,0,0,FALSE,FALSE
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,"Borough Road, Altrincham",WA15 9RA,8,0,2 hours free/£1 all day,TRUE,TRUE,FALSE,0,0,FALSE,FALSE
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,"Cecil Road East, Hale",WA14 9NT,135,11,Pay & Display,FALSE,TRUE,FALSE,0,0,FALSE,TRUE
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,"Victoria Road, Hale",WA14 9AF,47,2,Pay & Display,FALSE,TRUE,FALSE,0,0,FALSE,FALSE
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,"Thorley Lane, Timperley",WA15 7BJ,63,4,Free - limited to 3 hours,TRUE,FALSE,TRUE,1.98,6.5,FALSE,TRUE
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,"Warrener Street, Sale Moor",M33 3GE,95,3,2 hours free/£1 all day,TRUE,TRUE,FALSE,0,0,FALSE,TRUE
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,"Oaklands Drive, Sale",M33 7NS,76,3,Pay & Display,FALSE,TRUE,TRUE,1.98,6.5,FALSE,TRUE
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,"Hampson Street, Sale Moor",M33 3JF,30,0,2 hours free/£1 all day,TRUE,TRUE,TRUE,1.98,6.5,FALSE,FALSE
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,"James Street, Sale Moor",M33 3HN,21,1,2 hours free/£1 all day,TRUE,TRUE,TRUE,1.98,6.5,FALSE,TRUE
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,"Greenbank Road, Sale",M33 5YL,20,1,2 hours free/£1 all day,TRUE,TRUE,FALSE,0,0,FALSE,FALSE
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,"Newton Street/Lacy Street, Stretford",M32 8AA,145,4,2 hours free/£1 all day,TRUE,TRUE,FALSE,0,0,TRUE,TRUE
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,"Eleventh Street, Trafford Park",M17 1JF,43,0,Free,TRUE,FALSE,TRUE,1.98,6.5,FALSE,FALSE
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,"Manor Avenue, Urmston",M41 9JE,74,4,2 hours free/£1 all day,TRUE,TRUE,TRUE,1.98,6.5,FALSE,TRUE
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,"Atkinson Road (East), Urmston",M41 9QN,25,1,2 hours free/£1 all day,TRUE,TRUE,FALSE,0,0,FALSE,FALSE
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,"Golden Hill Park, Urmston",M41 5AT,100,3,2 hours free/£1 all day,TRUE,TRUE,TRUE,1.98,6.5,FALSE,TRUE
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,"Flixton Road, Urmston",M41 6JF,36,2,2 hours free/£1 all day,TRUE,TRUE,FALSE,0,0,TRUE,FALSE
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,"Central Road (rear of Co-op), Partington",M31 4FY,85,3,Free,TRUE,FALSE,FALSE,0,0,FALSE,FALSE
