OrganisationLabel,OrganisationURI,EffectiveDate,PayMultipleFactor,RemunerationValue,Ratio,Period,ModelCalculation,OrganisationType
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2019-03-20,Highest,165000,1.00:1,2019/20,0,MBC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2019-03-20,Median,23111,7.14:1,2019/20,1,MBC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2019-03-20,Lowest,15016,10.99:1,2019/20,4,MBC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2020-03-18,Highest,165000,1.00:1,2020/21,0,MBC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2020-03-18,Median,23836,6.92:1,2020/21,1,MBC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2020-03-18,Lowest,17323,9.52:1,2020/21,4,MBC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-03-24,Highest,169538,1.00:1,2021/22,0,MBC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-03-24,Median,24491,6.92:1,2021/22,1,MBC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-03-24,Lowest,17800,9.52:1,2021/22,4,MBC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-03-23,Highest,169538,1.00:1,2022/23,0,MBC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-03-23,Median,24491,6.92:1,2022/23,1,MBC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-03-23,Lowest,17842,9.50:1,2022/23,4,MBC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-03-22,Highest,184006,1.00:1,2023/24,0,MBC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-03-22,Median,26845,6.85:1,2023/24,1,MBC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-03-22,Lowest,20258,9.08:1,2023/24,4,MBC
